id,author,community,alpha,beta
624,zhiming zhao_pers/13,13,1.0,0.55
625,zofia mosurska_pers/13,13,1.0,0.55
0,a. leszczynski_pers/15,9,1.0,0.60
1,a. v. ozhigin_pers/18,20,1.0,0.60
2,a_key/19,10,1.0,0.60
3,aashish dhungana_pers/13,14,1.0,0.60
4,adam belloum_pers/18,20,1.0,0.60
5,adam bemben_pers/2,4,1.0,0.60
6,adam d. barwell_pers/18,20,1.0,0.60
7,adam padee_pers/18,20,1.0,0.60
8,adam s. z. belloum_pers/18,20,1.0,0.60
9,adianto wibisono_pers/18,20,1.0,0.60
10,adrian f. kacso_pers/5,0,1.0,0.60
11,adrian klusek_pers/18,20,1.0,0.60
12,adrian kosmide_pers/18,20,1.0,0.60
13,adrian ktusek_pers/9,15,1.0,0.60
14,agata kubiczek_pers/19,10,1.0,0.60
15,agnieszka wierzbowska_pers/17,1,1.0,0.60
16,aiyu zhu_pers/1,11,1.0,0.60
17,alejandro f. frangi_pers/18,20,1.0,0.60
18,aleksander byrski_pers/18,20,1.0,0.60
19,aleksander mamla_pers/18,20,1.0,0.60
20,alessia gualandris_pers/18,20,1.0,0.60
21,alexander boukhanovsky_pers/18,20,1.0,0.60
22,alexander kordes_pers/18,20,1.0,0.60
23,alexander l. pyayt_pers/18,20,1.0,0.60
24,alexander quast_pers/18,20,1.0,0.60
25,alexander reinefeld_pers/18,20,1.0,0.60
26,alexander v. boukhanovsky_pers/1,11,1.0,0.60
27,alexandru iosup_pers/18,20,1.0,0.60
28,alfons g. hoekstra_pers/18,20,1.0,0.60
29,alfred geiger_pers/18,20,1.0,0.60
30,alfredo saglimbeni_pers/18,20,1.0,0.60
31,alfredo tirado-ramos_pers/18,20,1.0,0.60
32,allen d. malony_pers/18,20,1.0,0.60
33,andreas hoffmann 0003_pers/18,20,1.0,0.60
34,andreas hofmann_pers/19,10,1.0,0.60
35,andreas hoheisel_pers/18,20,1.0,0.60
36,andreas knüpfer_pers/18,20,1.0,0.60
37,andreas reuter 0001_pers/18,20,1.0,0.60
38,andreas schmidt_pers/18,20,1.0,0.60
39,andrei v. malevsky_pers/19,10,1.0,0.60
40,andrzej broda_pers/20,12,1.0,0.60
41,andrzej czyzewski_pers/18,20,1.0,0.60
42,andrzej eilmes_pers/18,20,1.0,0.60
43,andrzej milenin_pers/18,20,1.0,0.60
44,andrzej olszewski_pers/18,20,1.0,0.60
45,andrzej opalinski_pers/18,20,1.0,0.60
46,andrzej ozieblo_pers/18,20,1.0,0.60
47,andrzej urbanik_pers/18,20,1.0,0.60
48,andrzej zbigniew maksymowicz_pers/18,20,1.0,0.60
49,andrés gómez-tato_pers/18,20,1.0,0.60
50,anne-mieke vandamme_pers/18,20,1.0,0.60
51,anthony sulistio_pers/18,20,1.0,0.60
52,antoni cyz_pers/18,20,1.0,0.60
53,arkadiusz gil_pers/7,5,1.0,0.60
54,arkadiusz janik_pers/1,11,1.0,0.60
55,arkadiusz kuboszek_pers/18,20,1.0,0.60
56,arkadiusz z. dudek_pers/18,20,1.0,0.60
57,arndt bode_pers/18,20,1.0,0.60
58,artur andrzejak_pers/18,20,1.0,0.60
59,artur binczewski_pers/18,20,1.0,0.60
60,b. j. broekhuijsen_pers/18,20,1.0,0.60
61,b. p. gouldby_pers/18,20,1.0,0.60
62,b. podsiadlo-kleinrok_pers/18,20,1.0,0.60
63,b_key/4,13,1.0,0.60
64,bartek palak_pers/18,20,1.0,0.60
65,bartlomiej balcerek_pers/18,20,1.0,0.60
66,bartlomiej labno_pers/2,4,1.0,0.60
67,bartlomiej patrzyk_pers/9,15,1.0,0.60
68,bartosz balis_pers/18,20,1.0,0.60
69,bartosz bosak_pers/18,20,1.0,0.60
70,bartosz kowalczyk_pers/18,20,1.0,0.60
71,bartosz kowalewski_pers/5,0,1.0,0.60
72,bartosz kryza_pers/18,20,1.0,0.60
73,bartosz kwolek_pers/18,20,1.0,0.60
74,bartosz minch_pers/15,9,1.0,0.60
75,bartosz szafran_pers/18,20,1.0,0.60
76,bartosz wilk_pers/18,20,1.0,0.60
77,benjamin j. kadlec_pers/18,20,1.0,0.60
78,benjamin satzger_pers/18,20,1.0,0.60
79,benny sowell_pers/18,20,1.0,0.60
80,bernhard lang_pers/18,20,1.0,0.60
81,bob hertzberger_pers/18,20,1.0,0.60
82,bogna blaszczyk_pers/18,20,1.0,0.60
83,branislav borovac_pers/18,20,1.0,0.60
84,breanndán ó nualláin_pers/18,20,1.0,0.60
85,carles bona-casas_pers/18,20,1.0,0.60
86,cees de laat_pers/18,20,1.0,0.60
87,cees t. a. m. de laat_pers/18,20,1.0,0.60
88,cesar r. s. da silva_pers/18,20,1.0,0.60
89,charles a. boucher_pers/18,20,1.0,0.60
90,chris borckholder_pers/18,20,1.0,0.60
91,christian uebing_pers/18,20,1.0,0.60
92,christof klausecker_pers/18,20,1.0,0.60
93,christoph hellweg_pers/18,20,1.0,0.60
94,christopher brown 0002_pers/18,20,1.0,0.60
95,cinzia cappiello_pers/18,20,1.0,0.60
96,claudia gold_pers/7,5,1.0,0.60
97,clemens harlfinger_pers/7,5,1.0,0.60
98,cécile piret_pers/18,20,1.0,0.60
99,damian kosc_pers/18,20,1.0,0.60
100,dan kigelman_pers/18,20,1.0,0.60
101,daniel harezlak_pers/18,20,1.0,0.60
102,daniel krzywicki_pers/18,20,1.0,0.60
103,daniel lorenz 0001_pers/18,20,1.0,0.60
104,daniel nolte_pers/18,20,1.0,0.60
105,daniel rodríguez_pers/18,20,1.0,0.60
106,dario ruiz lopez_pers/18,20,1.0,0.60
107,dariusz król 0002_pers/18,20,1.0,0.60
108,dariusz tasak_pers/18,20,1.0,0.60
109,dariusz zbik_pers/18,20,1.0,0.60
110,dat t. nguyen_pers/1,11,1.0,0.60
111,david a. sanchez_pers/9,15,1.0,0.60
112,david a. van de vijver_pers/18,20,1.0,0.60
113,david a. yuen_pers/18,20,1.0,0.60
114,david coster_pers/18,20,1.0,0.60
115,david k. kahaner_pers/18,20,1.0,0.60
116,david l. george_pers/1,11,1.0,0.60
117,dawid dworak_pers/7,5,1.0,0.60
118,dawid kurzyniec_pers/18,20,1.0,0.60
119,debbi chen_pers/9,15,1.0,0.60
120,debora testi_pers/18,20,1.0,0.60
121,denis caromel_pers/18,20,1.0,0.60
122,dennis hoppe_pers/18,20,1.0,0.60
123,derek groen_pers/18,20,1.0,0.60
124,derrick kondo_pers/18,20,1.0,0.60
125,dieter kranzlmüller_pers/18,20,1.0,0.60
126,dineke frentz_pers/18,20,1.0,0.60
127,dmitry vasunin_pers/18,20,1.0,0.60
128,dmitry vasyunin_pers/18,20,1.0,0.60
129,domenico talia_pers/18,20,1.0,0.60
130,dominik dziok_pers/18,20,1.0,0.60
131,dominik stoklosa_pers/18,20,1.0,0.60
132,dorota stojda_pers/18,20,1.0,0.60
133,dániel drótos_pers/5,0,1.0,0.60
134,edward nawarecki_pers/18,20,1.0,0.60
135,elzbieta richter-was_pers/9,15,1.0,0.60
136,eric lorenz_pers/18,20,1.0,0.60
137,erik o. d. sevre_pers/18,20,1.0,0.60
138,ernesto coto_pers/18,20,1.0,0.60
139,erwin laure_pers/18,20,1.0,0.60
140,eryk ciepiela_pers/18,20,1.0,0.60
141,evan f. bollig_pers/18,20,1.0,0.60
142,ewa deelman_pers/18,20,1.0,0.60
143,ewa matczynska_pers/18,20,1.0,0.60
144,eyuphan bulut_pers/3,19,1.0,0.60
145,f. i. rusadi_pers/18,20,1.0,0.60
146,fabien dubuffet_pers/2,4,1.0,0.60
147,fabio polticelli_pers/18,20,1.0,0.60
148,fabrizio gagliardi_pers/18,20,1.0,0.60
149,farrukh salim shaikh_pers/6,18,1.0,0.60
150,filip pomanski_pers/18,20,1.0,0.60
151,filip szura_pers/2,4,1.0,0.60
152,francesco nerieri_pers/18,20,1.0,0.60
153,francisco fernandez rivera_pers/3,19,1.0,0.60
154,frank berretz_pers/18,20,1.0,0.60
155,frank dopatka_pers/16,16,1.0,0.60
156,françoise baude_pers/18,20,1.0,0.60
157,g. dick van albada_pers/18,20,1.0,0.60
158,g. s. shirshov_pers/18,20,1.0,0.60
159,ganeshwara herawan hananda putra_pers/18,20,1.0,0.60
160,gerben klaas dirk de vries_pers/18,20,1.0,0.60
161,giovanni minervini_pers/18,20,1.0,0.60
162,giuseppe evangelista_pers/18,20,1.0,0.60
163,gordon erlebacher_pers/18,20,1.0,0.60
164,grady barrett wright_pers/18,20,1.0,0.60
165,grazyna skiba_pers/18,20,1.0,0.60
166,grzegorz dobrowolski_pers/18,20,1.0,0.60
167,grzegorz dyk_pers/18,20,1.0,0.60
168,grzegorz kaplita_pers/18,20,1.0,0.60
169,grzegorz mlynarczyk_pers/18,20,1.0,0.60
170,gábor dózsa_pers/5,0,1.0,0.60
171,hailing liu_pers/18,20,1.0,0.60
172,hamideh afsarmanesh_pers/18,20,1.0,0.60
173,han rauwerda_pers/18,20,1.0,0.60
174,han zhang_pers/1,11,1.0,0.60
175,hans j. w. spoelder_pers/18,20,1.0,0.60
176,hawzhin hozhabr pour_pers/18,20,1.0,0.60
177,hawzhin hozhabrpour_pers/2,4,1.0,0.60
178,henri e. bal_pers/18,20,1.0,0.60
179,henrik eichenhardt_pers/18,20,1.0,0.60
180,henryk palka_pers/18,20,1.0,0.60
181,hiroki senshu_pers/18,20,1.0,0.60
182,hong linh truong 0001_pers/18,20,1.0,0.60
183,huai zhang_pers/18,20,1.0,0.60
184,hubert siejkowski_pers/18,20,1.0,0.60
185,hui lin xing_pers/18,20,1.0,0.60
186,igor wojnicki_pers/9,15,1.0,0.60
187,ilkay altintas_pers/18,20,1.0,0.60
188,ilya i. mokhov_pers/18,20,1.0,0.60
189,irena roterman-konieczna_pers/18,20,1.0,0.60
190,irena roterman_pers/18,20,1.0,0.60
191,j. lhomme_pers/18,20,1.0,0.60
192,j. santoso_pers/18,20,1.0,0.60
193,jacek dajda_pers/18,20,1.0,0.60
194,jacek kitowski_pers/18,20,1.0,0.60
195,jacek moscinski_pers/18,20,1.0,0.60
196,jack j. dongarra_pers/18,20,1.0,0.60
197,jacob unterman_pers/9,15,1.0,0.60
198,jakub andrzejewski_pers/18,20,1.0,0.60
199,jakub bujas_pers/1,11,1.0,0.60
200,jakub dziwisz_pers/18,20,1.0,0.60
201,jakub sendor_pers/18,20,1.0,0.60
202,jakub t. moscicki_pers/18,20,1.0,0.60
203,jakub wach_pers/18,20,1.0,0.60
204,james b. s. g. greensky_pers/18,20,1.0,0.60
205,james j. suter_pers/18,20,1.0,0.60
206,jamie shiers_pers/1,11,1.0,0.60
207,jan blasiak_pers/14,3,1.0,0.60
208,jan dzwinel_pers/12,17,1.0,0.60
209,jan meizner_pers/18,20,1.0,0.60
210,jan pieczykolan_pers/18,20,1.0,0.60
211,jan stypka_pers/18,20,1.0,0.60
212,janusz slawek_pers/11,6,1.0,0.60
213,jarek nabrzyski_pers/18,20,1.0,0.60
214,jaroslaw dabrowski_pers/9,15,1.0,0.60
215,jaroslaw iwaszkiewicz_pers/18,20,1.0,0.60
216,javier rubio-loyola_pers/18,20,1.0,0.60
217,jens volkert_pers/18,20,1.0,0.60
218,jeroen broekhuijsen_pers/18,20,1.0,0.60
219,jerzy wasniewski_pers/18,20,1.0,0.60
220,jessica schmidt_pers/18,20,1.0,0.60
221,jesús labarta_pers/18,20,1.0,0.60
222,jie tao_pers/18,20,1.0,0.60
223,joan serrat 0001_pers/18,20,1.0,0.60
224,joan serrat-fernández_pers/18,20,1.0,0.60
225,joanna kijak_pers/18,20,1.0,0.60
226,joanna kocot_pers/18,20,1.0,0.60
227,joanna patrzyk_pers/9,15,1.0,0.60
228,joanna plazek_pers/18,20,1.0,0.60
229,johann krammer_pers/9,15,1.0,0.60
230,john hughes_pers/18,20,1.0,0.60
231,jonas sala_pers/18,20,1.0,0.60
232,jonathan c. mclane_pers/18,20,1.0,0.60
233,joris borgdorff_pers/18,20,1.0,0.60
234,josu martinez_pers/18,20,1.0,0.60
235,jozef kotus_pers/18,20,1.0,0.60
236,juan arenas_pers/18,20,1.0,0.60
237,juan c. burguillo_pers/18,20,1.0,0.60
238,jörg stiller_pers/17,1,1.0,0.60
239,jörg trinitis_pers/18,20,1.0,0.60
240,k. a. karasavvas_pers/18,20,1.0,0.60
241,k. reeves_pers/18,20,1.0,0.60
242,kamil figiela_pers/18,20,1.0,0.60
243,kamil górka_pers/18,20,1.0,0.60
244,kamil iskra_pers/18,20,1.0,0.60
245,kamil mazurek_pers/5,0,1.0,0.60
246,kamil pietak_pers/18,20,1.0,0.60
247,kamil sterna_pers/9,15,1.0,0.60
248,karol grzegorczyk_pers/18,20,1.0,0.60
249,karol wawrzyniak_pers/18,20,1.0,0.60
250,katarzyna prymula_pers/18,20,1.0,0.60
251,katarzyna rycerz_pers/18,20,1.0,0.60
252,katarzyna zajac 0001_pers/18,20,1.0,0.60
253,kazimierz balos_pers/18,20,1.0,0.60
254,kazimierz wiatr_pers/18,20,1.0,0.60
255,kevin hammond_pers/18,20,1.0,0.60
256,kinga salapa_pers/18,20,1.0,0.60
257,kirk e. jordan_pers/12,17,1.0,0.60
258,klaus ullmann_pers/18,20,1.0,0.60
259,klemens noga_pers/18,20,1.0,0.60
260,konrad gadek_pers/18,20,1.0,0.60
261,konrad jopek_pers/18,20,1.0,0.60
262,kornel skalkowski_pers/18,20,1.0,0.60
263,kristof theys_pers/18,20,1.0,0.60
264,krystian pawlik_pers/9,15,1.0,0.60
265,krzysztof banas_pers/18,20,1.0,0.60
266,krzysztof benedyczak_pers/18,20,1.0,0.60
267,krzysztof borowski_pers/8,7,1.0,0.60
268,krzysztof boryczko_pers/18,20,1.0,0.60
269,krzysztof cetnarowicz_pers/18,20,1.0,0.60
270,krzysztof dzwinel_pers/10,2,1.0,0.60
271,krzysztof guzy_pers/18,20,1.0,0.60
272,krzysztof j. cios_pers/15,9,1.0,0.60
273,krzysztof korcyl_pers/18,20,1.0,0.60
274,krzysztof kurowski_pers/18,20,1.0,0.60
275,krzysztof magiera_pers/2,4,1.0,0.60
276,krzysztof nawrocki_pers/18,20,1.0,0.60
277,krzysztof sowa-pieklo_pers/18,20,1.0,0.60
278,krzysztof sowa_pers/18,20,1.0,0.60
279,krzysztof wilaszek_pers/18,20,1.0,0.60
280,krzysztof wilk_pers/18,20,1.0,0.60
281,krzysztof zielinski_pers/18,20,1.0,0.60
282,kuba rozkwitalski_pers/18,20,1.0,0.60
283,ladislav hluchý_pers/18,20,1.0,0.60
284,lechoslaw trebacz_pers/18,20,1.0,0.60
285,leonardo mariani_pers/18,20,1.0,0.60
286,leszek siwik_pers/18,20,1.0,0.60
287,liang zheng_pers/18,20,1.0,0.60
288,louis o. hertzberger_pers/18,20,1.0,0.60
289,ludovic henrio_pers/18,20,1.0,0.60
290,luis menezes_pers/14,3,1.0,0.60
291,lukas wegmeth_pers/2,4,1.0,0.60
292,lukasz dutka_pers/18,20,1.0,0.60
293,lukasz faber_pers/18,20,1.0,0.60
294,lukasz flis_pers/18,20,1.0,0.60
295,lukasz nocun_pers/18,20,1.0,0.60
296,lukasz rauch_pers/18,20,1.0,0.60
297,lukasz skital_pers/18,20,1.0,0.60
298,m. charley kameyama_pers/18,20,1.0,0.60
299,m. damon_pers/19,10,1.0,0.60
300,m. gajecki_pers/18,20,1.0,0.60
301,m. magdón_pers/2,4,1.0,0.60
302,m. mechtel_pers/18,20,1.0,0.60
303,m. renczynska-wyrobek_pers/9,15,1.0,0.60
304,maciej dudek_pers/18,20,1.0,0.60
305,maciej filocha_pers/18,20,1.0,0.60
306,maciej golenia_pers/18,20,1.0,0.60
307,maciej golik_pers/18,20,1.0,0.60
308,maciej grzegorczyk_pers/18,20,1.0,0.60
309,maciej kuzniar_pers/18,20,1.0,0.60
310,maciej malawski_pers/18,20,1.0,0.60
311,maciej nabozny_pers/18,20,1.0,0.60
312,maciej paszynski_pers/18,20,1.0,0.60
313,maciej pawlik_pers/18,20,1.0,0.60
314,maciej twardy_pers/18,20,1.0,0.60
315,maciej zientarski_pers/7,5,1.0,0.60
316,magda szopa_pers/18,20,1.0,0.60
317,magdalena strzoda_pers/2,4,1.0,0.60
318,malgorzata krakowian_pers/18,20,1.0,0.60
319,malgorzata tomanek_pers/18,20,1.0,0.60
320,malgorzata wielgus_pers/7,5,1.0,0.60
321,malgorzata zabinska_pers/18,20,1.0,0.60
322,marcelina borcz_pers/18,20,1.0,0.60
323,marcin grzegorzek_pers/18,20,1.0,0.60
324,marcin jarzab_pers/18,20,1.0,0.60
325,marcin koch_pers/18,20,1.0,0.60
326,marcin kurdziel_pers/18,20,1.0,0.60
327,marcin los_pers/18,20,1.0,0.60
328,marcin nowak_pers/18,20,1.0,0.60
329,marcin pospieszny_pers/18,20,1.0,0.60
330,marcin radecki_pers/18,20,1.0,0.60
331,marcin smetek_pers/18,20,1.0,0.60
332,marcin stolarek_pers/18,20,1.0,0.60
333,marcin szelc_pers/18,20,1.0,0.60
334,marco danelutto_pers/18,20,1.0,0.60
335,marco nichau_pers/18,20,1.0,0.60
336,marek kasztelnik_pers/18,20,1.0,0.60
337,marek kisiel-dorohinicki_pers/18,20,1.0,0.60
338,marek kochanczyk_pers/18,20,1.0,0.60
339,marek kowalski_pers/18,20,1.0,0.60
340,marek magrys_pers/18,20,1.0,0.60
341,marek piascik_pers/7,5,1.0,0.60
342,marek pogoda_pers/18,20,1.0,0.60
343,marek wieczorek_pers/18,20,1.0,0.60
344,marek zaionc_pers/18,20,1.0,0.60
345,margaret balcerzak_pers/9,15,1.0,0.60
346,maria stanislawa magdon-maksymowicz_pers/18,20,1.0,0.60
347,marian bubak_pers/18,20,1.0,0.60
348,mariusz kope_pers/13,14,1.0,0.60
349,mariusz mamonski_pers/18,20,1.0,0.60
350,mariusz sterzel_pers/18,20,1.0,0.60
351,mariusz witek_pers/18,20,1.0,0.60
352,markus bode_pers/18,20,1.0,0.60
353,markus schmid_pers/18,20,1.0,0.60
354,marlon e. pierce_pers/18,20,1.0,0.60
355,marta panuszewska_pers/18,20,1.0,0.60
356,martin bobák_pers/18,20,1.0,0.60
357,martin g. metzker_pers/18,20,1.0,0.60
358,martin koehler_pers/18,20,1.0,0.60
359,martin schulz 0001_pers/18,20,1.0,0.60
360,massimo lamanna_pers/18,20,1.0,0.60
361,matei ripeanu_pers/18,20,1.0,0.60
362,mateusz banach_pers/18,20,1.0,0.60
363,mateusz godzik_pers/18,20,1.0,0.60
364,mateusz kosibowicz_pers/18,20,1.0,0.60
365,mateusz kupisz_pers/18,20,1.0,0.60
366,mateusz paciorek_pers/18,20,1.0,0.60
367,mateusz paciorekl_pers/18,20,1.0,0.60
368,mateusz piech_pers/18,20,1.0,0.60
369,mateusz starzec_pers/18,20,1.0,0.60
370,matthew g. knepley_pers/18,20,1.0,0.60
371,matthias assel_pers/18,20,1.0,0.60
372,matthieu morel_pers/18,20,1.0,0.60
373,matti heikkurinen_pers/18,20,1.0,0.60
374,mehmet a. nacar_pers/18,20,1.0,0.60
375,mehmet s. aktas_pers/18,20,1.0,0.60
376,michael garbas_pers/18,20,1.0,0.60
377,michael gerndt_pers/18,20,1.0,0.60
378,michael m. resch_pers/18,20,1.0,0.60
379,michael oberhuber_pers/18,20,1.0,0.60
380,michael r. knox_pers/18,20,1.0,0.60
381,michal bluj_pers/18,20,1.0,0.60
382,michal dwuznik_pers/18,20,1.0,0.60
383,michal dyrda_pers/5,0,1.0,0.60
384,michal janczykowski_pers/18,20,1.0,0.60
385,michal kapalka_pers/9,15,1.0,0.60
386,michal konarski_pers/18,20,1.0,0.60
387,michal krok_pers/13,14,1.0,0.60
388,michal lopuszynski_pers/18,20,1.0,0.60
389,michal niec_pers/18,20,1.0,0.60
390,michal orzechowski_pers/18,20,1.0,0.60
391,michal pelczar_pers/18,20,1.0,0.60
392,michal piotrowski_pers/8,7,1.0,0.60
393,michal radziszewski_pers/12,17,1.0,0.60
394,michal slaski_pers/18,20,1.0,0.60
395,michal swatowski_pers/18,20,1.0,0.60
396,michal trzeciak_pers/18,20,1.0,0.60
397,michal turala_pers/18,20,1.0,0.60
398,michal wegiel_pers/12,17,1.0,0.60
399,mike r. knox_pers/18,20,1.0,0.60
400,mikolaj baranowski_pers/18,20,1.0,0.60
401,milosz zdybal_pers/18,20,1.0,0.60
402,miroslav zivkovic_pers/18,20,1.0,0.60
403,monika piwowar_pers/18,20,1.0,0.60
404,márcia a. inda_pers/18,20,1.0,0.60
405,n. b. melnikova_pers/18,20,1.0,0.60
406,nan zhang_pers/18,20,1.0,0.60
407,norbert meyer_pers/18,20,1.0,0.60
408,olav hansen_pers/18,20,1.0,0.60
409,oleg v. vasilyev_pers/10,2,1.0,0.60
410,olivier hoenen_pers/18,20,1.0,0.60
411,ondrej habala_pers/18,20,1.0,0.60
412,onn shehory_pers/18,20,1.0,0.60
413,otto rienhoff_pers/18,20,1.0,0.60
414,owen appleton_pers/18,20,1.0,0.60
415,p. mättig_pers/18,20,1.0,0.60
416,pablo lamata_pers/18,20,1.0,0.60
417,paola grosso_pers/18,20,1.0,0.60
418,patryk lason_pers/18,20,1.0,0.60
419,patryk orzechowski_pers/8,7,1.0,0.60
420,paul t. groth_pers/18,20,1.0,0.60
421,pawel chorazyk_pers/18,20,1.0,0.60
422,pawel gepner_pers/18,20,1.0,0.60
423,pawel gosztyla_pers/7,5,1.0,0.60
424,pawel hodurek_pers/15,9,1.0,0.60
425,pawel j. matuszyk_pers/4,13,1.0,0.60
426,pawel jurczyk_pers/18,20,1.0,0.60
427,pawel koperek_pers/9,15,1.0,0.60
428,pawel pawlowicz_pers/15,9,1.0,0.60
429,pawel pierzchala_pers/18,20,1.0,0.60
430,pawel pikula_pers/7,5,1.0,0.60
431,pawel plaszczak_pers/18,20,1.0,0.60
432,pawel swierszcz_pers/16,16,1.0,0.60
433,pawel topa_pers/18,20,1.0,0.60
434,pawel wolniewicz_pers/18,20,1.0,0.60
435,pawel wróblewski_pers/12,17,1.0,0.60
436,peter bloem_pers/18,20,1.0,0.60
437,peter brezany_pers/18,20,1.0,0.60
438,peter brunner_pers/18,20,1.0,0.60
439,peter buchholz 0002_pers/18,20,1.0,0.60
440,peter fritzson_pers/7,5,1.0,0.60
441,peter m. a. sloot_pers/18,20,1.0,0.60
442,peter skov_pers/9,15,1.0,0.60
443,peter v. coveney_pers/18,20,1.0,0.60
444,pieter libin_pers/18,20,1.0,0.60
445,piotr anielski_pers/18,20,1.0,0.60
446,piotr bala_pers/18,20,1.0,0.60
447,piotr blaszczyk_pers/9,15,1.0,0.60
448,piotr godowski_pers/18,20,1.0,0.60
449,piotr handzlik_pers/9,15,1.0,0.60
450,piotr iwo wójcik_pers/18,20,1.0,0.60
451,piotr kala_pers/18,20,1.0,0.60
452,piotr kustra_pers/18,20,1.0,0.60
453,piotr luszczek_pers/18,20,1.0,0.60
454,piotr machner_pers/18,20,1.0,0.60
455,piotr malecki_pers/18,20,1.0,0.60
456,piotr martyna_pers/1,11,1.0,0.60
457,piotr metel_pers/18,20,1.0,0.60
458,piotr nawrocki_pers/18,20,1.0,0.60
459,piotr nowakowski_pers/18,20,1.0,0.60
460,piotr ochlawski_pers/18,20,1.0,0.60
461,piotr pawliczek_pers/15,9,1.0,0.60
462,piotr pegiel_pers/18,20,1.0,0.60
463,piotr wawrykal_pers/9,15,1.0,0.60
464,piotr wiecek_pers/18,20,1.0,0.60
465,piotr wójcik_pers/18,20,1.0,0.60
466,przemyslaw czerwinski_pers/18,20,1.0,0.60
467,przemyslaw dabek_pers/7,5,1.0,0.60
468,przemyslaw majewski_pers/18,20,1.0,0.60
469,r. chrobak_pers/18,20,1.0,0.60
470,radoslaw gembarowski_pers/18,20,1.0,0.60
471,radoslaw maruszewski_pers/18,20,1.0,0.60
472,radoslaw rowicki_pers/18,20,1.0,0.60
473,radoslaw trzcionkowski_pers/5,0,1.0,0.60
474,rafal kluszczynski_pers/18,20,1.0,0.60
475,rafal lichwala_pers/18,20,1.0,0.60
476,rafal orlowski_pers/18,20,1.0,0.60
477,rafal tylman_pers/18,20,1.0,0.60
478,rafal wcislo_pers/18,20,1.0,0.60
479,rahul panday_pers/18,20,1.0,0.60
480,rainer koppler_pers/18,20,1.0,0.60
481,ralf ebner 0001_pers/7,5,1.0,0.60
482,ralph koning_pers/18,20,1.0,0.60
483,ralph müller-pfefferkorn_pers/18,20,1.0,0.60
484,ramin yahyapour_pers/18,20,1.0,0.60
485,ramon doallo_pers/18,20,1.0,0.60
486,raphael sangeda_pers/18,20,1.0,0.60
487,raül sirvent_pers/18,20,1.0,0.60
488,reginald cushing_pers/18,20,1.0,0.60
489,reinhard neumann_pers/18,20,1.0,0.60
490,renata slota_pers/18,20,1.0,0.60
491,renato campo_pers/5,0,1.0,0.60
492,richard knight_pers/18,20,1.0,0.60
493,robert brzoza-woch_pers/18,20,1.0,0.60
494,robert chrzan_pers/18,20,1.0,0.60
495,robert g. belleman_pers/18,20,1.0,0.60
496,robert j. meijer_pers/18,20,1.0,0.60
497,robert marcjan_pers/18,20,1.0,0.60
498,robert pajak_pers/18,20,1.0,0.60
499,robert samborski_pers/18,20,1.0,0.60
500,robert szymacha_pers/18,20,1.0,0.60
501,roberto ruiz_pers/18,20,1.0,0.60
502,roksana rózanska_pers/18,20,1.0,0.60
503,roland wismüller_pers/18,20,1.0,0.60
504,roman debski_pers/18,20,1.0,0.60
505,roman janusz_pers/9,15,1.0,0.60
506,rosa m. badia_pers/18,20,1.0,0.60
507,roy williams_pers/18,20,1.0,0.60
508,rudolf j. strijkers_pers/18,20,1.0,0.60
509,rudolph l. maxwell_pers/2,4,1.0,0.60
510,ryszard gokieli_pers/18,20,1.0,0.60
511,s. m. wang_pers/15,9,1.0,0.60
512,sascha skorupa_pers/18,20,1.0,0.60
513,schahram dustdar_pers/18,20,1.0,0.60
514,sebastian ernst_pers/10,2,1.0,0.60
515,sebastian feduniak_pers/9,15,1.0,0.60
516,sebastian lakomy_pers/18,20,1.0,0.60
517,sebastian wurm_pers/12,17,1.0,0.60
518,sergei gorlatch_pers/18,20,1.0,0.60
519,seyran saeedi_pers/6,18,1.0,0.60
520,shea miller_pers/15,9,1.0,0.60
521,shenyi song_pers/1,11,1.0,0.60
522,shuo m. wang_pers/18,20,1.0,0.60
523,shuxia zhang_pers/1,11,1.0,0.60
524,siegfried benkner_pers/18,20,1.0,0.60
525,siegfried grabner_pers/18,20,1.0,0.60
526,simon meurer_pers/11,6,1.0,0.60
527,simon portegies zwart_pers/18,20,1.0,0.60
528,slawomir goryczka_pers/18,20,1.0,0.60
529,slawomir zielinski_pers/18,20,1.0,0.60
530,spiros koulouzis_pers/18,20,1.0,0.60
531,stan matwin_pers/15,9,1.0,0.60
532,stanislaw ambroszkiewicz_pers/9,15,1.0,0.60
533,stefan j. zasada_pers/18,20,1.0,0.60
534,steven wood_pers/18,20,1.0,0.60
535,stijn imbrechts_pers/18,20,1.0,0.60
536,susheel varma_pers/18,20,1.0,0.60
537,syed naqvi_pers/5,0,1.0,0.60
538,syed wajahat abbas kazmi_pers/5,0,1.0,0.60
539,szymon engel_pers/12,17,1.0,0.60
540,szymon mentel_pers/18,20,1.0,0.60
541,szymon szominski_pers/18,20,1.0,0.60
542,t. harenberg_pers/18,20,1.0,0.60
543,t. kryza_pers/18,20,1.0,0.60
544,t. szymocha_pers/18,20,1.0,0.60
545,tadeusz j. popiela_pers/18,20,1.0,0.60
546,tadeusz szymocha_pers/18,20,1.0,0.60
547,tao jiang_pers/18,20,1.0,0.60
548,taras v. gerya_pers/18,20,1.0,0.60
549,thierry priol_pers/18,20,1.0,0.60
550,thomas bemmerl_pers/18,20,1.0,0.60
551,thomas erlebach_pers/7,5,1.0,0.60
